"","as.numeric(sleepy_id)","sexlizard","curyear","mean_Tb_obs","mean_Tb_pred","max_Tb_obs","max_Tb_pred","min_Tb_obs","min_Tb_pred","med_Tb_obs","med_Tb_pred","lm_Tb_R2","lm_Tb_rmsd","true-","false-","true+","false+","err","true-","false-","true+","false+","err"
"1",10039,"1",2010,20.402414544278,22.5142350969346,38.5833333333333,42.3417186737061,4.06666666666667,4.37312054634094,19.0166666666667,22.0914278030396,0.771858351909675,4.91421763683726,1430,39,572,391,0.251233552631579,306,37,572,391,0.466309341500766
"2",10424,"F",2010,22.9175576148922,25.0393883725209,40.85,42.3417186737061,7.46666666666667,7.42211294174194,22,24.7069220542908,0.704224838636529,5.01660983244542,722,31,288,337,0.231494920174166,123,29,288,337,0.407979407979408
"3",10509,"unknown",2010,22.7559910586056,22.6165026155572,41.5666666666667,42.3417186737061,5.5,4.37312054634094,21.4833333333333,22.1358914375305,0.777388667142346,4.33585579745853,1548,29,569,465,0.229031022596706,353,26,569,465,0.421089879688606
"4",10827,"F",2010,21.7069783561243,22.9501558816982,42.1333333333333,42.3417186737061,5.56666666666667,4.37312054634094,20.9166666666667,22.5158352851868,0.725640032618873,5.07617649892558,1127,49,430,390,0.23997995991984,241,48,430,390,0.431018935978359
"5",11130,"F",2010,20.0554020710924,22.0680855802113,39.5833333333333,41.2377948760986,3.98333333333333,4.37312054634094,18.8,21.3842520713806,0.78119632675405,4.7773551938476,1456,53,464,473,0.2113654946852,328,50,464,473,0.390874524714829
"6",11157,"F",2010,20.7901897309433,23.0926989257615,38.8666666666667,42.3417186737061,5.01666666666667,4.37312054634094,19.4916666666666,22.6988334655762,0.76406602045561,4.96932808263851,1226,22,483,399,0.237089201877934,264,22,483,399,0.43236301369863
"7",11194,"1",2010,21.9972036543181,23.2560819299133,41.7608695652174,42.3417186737061,6.68333333333333,4.37312054634094,21.0916666666667,22.8086862564087,0.766599414519804,4.62356923579958,1201,67,358,534,0.196759259259259,234,61,358,534,0.352990732940185
"8",11505,"F",2010,21.0353141596305,23.2770350385364,42.0833333333333,42.3417186737061,4.58333333333333,4.98457098007202,19.7666666666667,22.8690576553345,0.772411210476506,4.90298401274402,992,37,356,371,0.22380410022779,218,31,356,371,0.396516393442623
"9",11533,"1",2010,19.5347801274676,22.3863380096321,40.2916666666667,42.3417186737061,2.81666666666667,4.37312054634094,18.275,21.7572445869446,0.77768173916262,5.19801692553306,1609,30,637,412,0.248139880952381,369,28,637,412,0.459889349930844
"10",11885,"F",2010,20.104320269612,22.3948261628685,40.5666666666667,42.3417186737061,4.25,4.37312054634094,18.4666666666667,21.8395252227783,0.777540397268054,4.9104107627728,1585,53,506,543,0.208038704875326,346,52,506,543,0.385625431928127
"11",11902,"1",2010,20.9355613470086,23.2737953577875,40.0666666666667,42.3417186737061,4,4.37312054634094,19.827688172043,22.8690576553345,0.765551162200527,4.99396522473464,1283,22,502,437,0.233511586452763,285,19,502,437,0.419147224456959
"12",12030,"1",2010,21.0782324037003,22.8784822248983,42.1666666666667,42.3417186737061,4.9,4.37312054634094,19.6166666666667,22.4090046882629,0.746959089469631,4.93860133170353,1419,46,556,423,0.246317512274959,303,43,556,423,0.452075471698113
"13",12138,"1",2010,20.6452329032398,22.4108466004426,39.7333333333333,42.3417186737061,5,4.37312054634094,19.225,21.9752676486969,0.788793805330655,4.60766168403105,1572,36,585,457,0.234339622641509,355,35,585,457,0.432960893854749
"14",12434,"F",2010,21.0474984484431,22.616678995188,38.2833333333333,42.3417186737061,4,4.37312054634094,19.9916666666666,22.2121012210846,0.784302966335194,4.56563247896739,1468,16,537,453,0.223524656426839,339,14,537,453,0.410275502606106
"15",12730,"1",2010,20.0839319211723,22.4493542615506,40.1833333333333,42.3417186737061,4.65,4.37312054634094,18.5666666666667,21.997166633606,0.721042458461713,5.39093221364417,1508,23,621,365,0.255860150973381,347,22,621,365,0.474538745387454
"16",12847,"1",2010,22.1095657770179,23.3894477777245,41.0833333333333,42.3417186737061,4.55,4.98457098007202,21.675,23.0218391418457,0.646886536218488,5.48393344984153,1077,31,482,346,0.264979338842975,220,30,482,346,0.474953617810761
"17",12893,"1",2010,18.97274500777,21.7967749873004,37.9,42.3417186737061,4.75,4.37312054634094,16.9916666666666,21.0278367996216,0.714619730819587,5.71598892830444,1347,21,523,313,0.246823956442831,318,21,523,313,0.462978723404255
"18",13535,"1",2010,20.5765984518659,22.4944176604898,41.4666666666667,41.2377948760986,4.78333333333333,4.98457098007202,19.2166666666667,21.7258892059326,0.780265075741378,4.62942633146303,1052,43,409,293,0.251530328324986,237,41,409,293,0.459183673469388
