"","JULDAY","TIME","TALOC","TAREF","RHLOC","RH","VLOC","VREF","SHADEGRASS","SOILMOIST","TDEEP","ZEN","SOLR","TSKYC","DEW","FROST","SNOWFALL","SNOWDEP"
"1",15,0,14.5281629562378,14.3197021484375,58.3210945129395,59.112922668457,0.254736095666885,1.16048061847687,0,11.4583330154419,13.9499998092651,90,0,0.76092529296875,0,0,0,0
"2",15,60,14.4181604385376,14.1785888671875,61.7774085998535,62.7432403564453,0.204161778092384,0.930083274841309,0,13.9166660308838,13.9499998092651,90,0,0.89404296875,0,0,0,0
"3",15,120,14.2725372314453,14.0724487304688,65.5182037353516,66.3735580444336,0.153587460517883,0.699685871601105,0,16.375,13.9499998092651,90,0,1.054443359375,0,0,0,0
"4",15,180,14.1592864990234,13.9925842285156,69.2510452270508,70.0038757324219,0.10301311314106,0.469288498163223,0,18.8333339691162,13.9499998092651,90,0,1.23291015625,0,0,0,0
"5",15,240,14.0748023986816,13.9324951171875,72.9571990966797,73.6342010498047,0.0488630160689354,0.222601279616356,0,21.2916679382324,13.9499998092651,90,9.28800291148946e-05,1.42279052734375,0,0,0,0
"6",15,300,14.1462602615356,13.8872985839844,76.2291107177734,77.5211944580078,0.0451915673911572,0.20587557554245,0,23.7500019073486,13.9499998092651,90,5.07108163833618,1.63674926757812,0,0,0,0
"7",15,360,16.7467174530029,14.1822509765625,65.7589263916016,77.5211944580078,0.0971187651157379,0.442436128854752,0,26.2083358764648,13.9499998092651,79.4075164794922,116.357582092285,2.01275634765625,0,0,0,0
"8",15,420,22.2673835754395,15.5443725585938,47.1422309875488,71.7509536743164,0.14904597401619,0.678996682167053,0,28.6666698455811,13.9499998092651,66.941520690918,288.244415283203,3.3333740234375,0,0,0,0
"9",15,480,28.48362159729,17.6277465820312,33.9756355285645,65.5416946411133,0.200973212718964,0.915557265281677,0,30,13.9499998092651,54.1719970703125,457.677093505859,5.49697875976562,0,0,0,0
"10",15,540,34.199104309082,20.1096801757812,25.9554538726807,59.3324356079102,0.252900391817093,1.1521178483963,0,30,13.9499998092651,41.2644119262695,612.816040039062,8.11172485351562,0,0,0,0
"11",15,600,38.6800270080566,22.6055908203125,21.1920166015625,53.123176574707,0.304827630519867,1.38867843151093,0,30,13.9499998092651,28.4424915313721,726.438842773438,10.6756896972656,0,0,0,0
"12",15,660,41.5663871765137,24.728759765625,15.8231143951416,40.7046546936035,0.356754809617996,1.62523889541626,0,30,13.9499998092651,16.3577556610107,802.257507324219,11.8988952636719,0,0,0,0
"13",15,720,42.1379623413086,26.1503295898438,16.7075481414795,40.7046546936035,0.460609197616577,2.09836006164551,0,30,13.9499998092651,9.28937530517578,827.407958984375,13.6923522949219,0,0,0,0
"14",15,780,41.9937591552734,26.6500244140625,17.991491317749,42.2386779785156,0.460609197616577,2.09836006164551,0,30,13.9499998092651,16.3577556610107,801.994873046875,14.529296875,0,0,0,0
"15",15,840,41.2310485839844,26.1503295898438,18.8457698822021,43.7726974487305,0.441893517971039,2.01309823989868,0,30,13.9499998092651,28.4424915313721,727.892456054688,14.0960083007812,0,0,0,0
"16",15,900,38.7064323425293,24.728759765625,20.5097827911377,45.3067207336426,0.423177778720856,1.92783641815186,0,30,13.9499998092651,41.2644119262695,614.657958984375,12.4885864257812,0,0,0,0
"17",15,960,34.5376930236816,22.6055908203125,23.433177947998,46.8407440185547,0.404461950063705,1.84257471561432,0,30,13.9499998092651,54.1719970703125,459.513671875,9.98675537109375,0,0,0,0
"18",15,1020,29.2709922790527,20.1096801757812,27.978702545166,48.3747673034668,0.385746270418167,1.75731301307678,0,30,13.9499998092651,66.941520690918,289.692230224609,7.00881958007812,0,0,0,0
"19",15,1080,23.4862594604492,17.6277465820312,34.7729377746582,49.9087905883789,0.367030531167984,1.67205107212067,0,30,13.9499998092651,79.4075164794922,117.059860229492,4.04483032226562,0,0,0,0
"20",15,1140,18.6835346221924,16.1138916015625,43.7310562133789,51.4428100585938,0.348314821720123,1.58678936958313,0,30,13.9499998092651,90,5.09953022003174,2.2967529296875,0,0,0,0
"21",15,1200,16.8775196075439,15.5284118652344,48.6079177856445,52.9768333435059,0.329599052667618,1.50152766704559,0,30,13.9499998092651,90,9.32903785724193e-05,1.71295166015625,0,0,0,0
"22",15,1260,16.1569995880127,15.0879516601562,50.9012565612793,54.510856628418,0.310883343219757,1.41626596450806,0,30,13.9499998092651,90,0,1.3070068359375,0,0,0,0
"23",15,1320,15.3667001724243,14.7565612792969,53.8863487243652,56.0448760986328,0.292167574167252,1.33100414276123,0,30,13.9499998092651,90,0,1.03402709960938,0,0,0,0
"24",15,1380,15.1630754470825,14.5072631835938,55.1945991516113,57.5788993835449,0.273451834917068,1.2457423210144,0,30,13.9499998092651,90,0,0.860443115234375,0,0,0,0
"25",46,0,14.6020278930664,14.3327026367188,59.8939056396484,60.9462966918945,0.263520121574402,1.20049726963043,0,30,13.9499998092651,90,0,1.09658813476562,0,0,0,0
"26",46,60,14.3739147186279,14.1933898925781,63.6628646850586,64.411506652832,0.213880822062492,0.974359512329102,0,30,13.9499998092651,90,0,1.20355224609375,0,0,0,0
"27",46,120,14.2181606292725,14.08740234375,67.3036956787109,67.8767166137695,0.164241552352905,0.748221814632416,0,30,13.9499998092651,90,0,1.33804321289062,0,0,0,0
"28",46,180,14.0986452102661,14.0067443847656,70.9178009033203,71.341926574707,0.114602267742157,0.52208423614502,0,30,13.9499998092651,90,0,1.49148559570312,0,0,0,0
