"","lon","lat","date","bodytemp","shade","depth","activity","atmos_pressure","precip","cloud_cover","Tair_local"," Tair_1.2m","RH_local","RH_1.2m","wind_local","wind_1.2m","solar_angle","solar.Wm2","Tsky","DEW","FROST","Soil0cm","Soil2.5cm","Soil5cm","Soil10cm","Soil15cm","Soil20cm","Soil30cm","Soil50cm","Soil100cm","Soil200cm"
"1",136.81,-33.19,2014-12-10 04:30:00,15.0209341049194,15,0,2,100930.5,0.15,76.56,16.0636024475098,17.2700004577637,88.8594207763672,82.3000030517578,0.594503939151764,2.70833325386047,90,0,8.27349853515625,0,0,14.2881155014038,17.4155387878418,19.5976715087891,20.8007640838623,21.2826366424561,21.2870197296143,20.6488094329834,20.0850315093994,20.0330619812012,20.0324993133545
"2",136.81,-33.19,2014-12-10 05:30:00,17.4839763641357,0,-2.5,0,101016.25,0.07,100,16.899112701416,17.1299991607666,82.6002044677734,81.4000015258789,0.612796366214752,2.79166674613953,90,1.06200015544891,9.58770751953125,0,0,16.555534362793,17.4563312530518,18.6624660491943,20.3533000946045,21.0478820800781,21.1829090118408,20.6706466674805,20.0938549041748,20.0332317352295,20.0324993133545
"3",136.81,-33.19,2014-12-10 06:30:00,17.5956058502197,0,-2.5,0,100995.25,0.03,100,17.4913272857666,17.8199996948242,74.539421081543,73.0100021362305,0.617064714431763,2.81111121177673,88.8123550415039,6.70680046081543,10.259765625,0,0,17.000997543335,17.5678768157959,18.4455738067627,19.9694499969482,20.791223526001,21.062385559082,20.6824836730957,20.1027507781982,20.03342628479,20.0324993133545
"4",136.81,-33.19,2014-12-10 07:30:00,17.790548324585,0,-2.5,0,100992.88,0.03,90.62,18.3836498260498,18.7099990844727,72.2725143432617,70.8099975585938,0.616454839706421,2.80833339691162,77.7066116333008,29.5450458526611,10.4895629882812,0,0,17.8969612121582,17.7623996734619,18.4067153930664,19.7096405029297,20.557092666626,20.9304466247559,20.6843395233154,20.1115570068359,20.0336437225342,20.0324993133545
"5",136.81,-33.19,2014-12-10 08:30:00,18.3445281982422,0,-2.5,0,101017.62,0.00999999999999995,79.69,20.2173194885254,20.1299991607666,66.599235534668,66.9599990844727,0.607308626174927,2.76666665077209,65.6410522460938,111.956443786621,11.1705322265625,0,0,20.3468322753906,18.3151245117188,18.5628910064697,19.5594787597656,20.3640155792236,20.7970123291016,20.676815032959,20.1201210021973,20.0338878631592,20.0324993133545
"6",136.81,-33.19,2014-12-10 09:30:00,19.4337539672852,0,-2.5,0,101026.38,0,89.06,22.1114654541016,21.6499996185303,55.854076385498,57.4500007629395,0.619503557682037,2.8222222328186,53.2454566955566,157.764297485352,13.2011108398438,0,0,22.800895690918,19.4017848968506,19.071891784668,19.5561237335205,20.2265472412109,20.6717853546143,20.6611423492432,20.1283111572266,20.0341567993164,20.0324993133545
"7",136.81,-33.19,2014-12-10 10:30:00,20.7044048309326,0,-2.5,0,100985.5,0.04,79.69,23.8362941741943,23.1299991607666,46.324333190918,48.3400001525879,0.619503557682037,2.8222222328186,40.7069435119629,209.693542480469,13.7873229980469,0,0,24.8915023803711,20.6691093444824,19.8564739227295,19.7294998168945,20.1661205291748,20.5654716491699,20.639139175415,20.1360187530518,20.0344467163086,20.0324993133545
"8",136.81,-33.19,2014-12-10 11:30:00,21.9928150177002,0,-2.5,0,100932.25,0.04,90.62,24.9594898223877,24.0499992370605,43.5162620544434,45.9500007629395,0.610357344150543,2.7805552482605,28.2885303497314,212.057327270508,15.5708923339844,0,0,26.3109111785889,21.9535942077637,20.7661514282227,20.0605487823486,20.1941776275635,20.4891128540039,20.6132106781006,20.1431713104248,20.0347576141357,20.0324993133545
"9",136.81,-33.19,2014-12-10 12:30:00,23.425537109375,0,-2.5,0,100881.88,0.05,56.25,26.3128776550293,24.5499992370605,43.0376815795898,47.7900009155273,0.617064714431763,2.81111121177673,16.7463817596436,374.035186767578,13.5092468261719,0,0,28.9428291320801,23.3813533782959,21.8210601806641,20.4821662902832,20.3080997467041,20.4509201049805,20.5862102508545,20.1497402191162,20.0350894927979,20.0324993133545
"10",136.81,-33.19,2014-12-10 13:30:00,25.7836399078369,0,-2.5,0,100788.25,0.03,17.19,29.5456848144531,25.1499996185303,38.8612289428711,50.2700004577637,0.640844821929932,2.91944456100464,10.3084173202515,705.258911132812,11.7263793945312,0,0,36.1947135925293,25.7301845550537,23.1468257904053,21.0705604553223,20.4992752075195,20.4555549621582,20.5611248016357,20.1557464599609,20.035436630249,20.0324993133545
"11",136.81,-33.19,2014-12-10 14:30:00,29.1868591308594,0,-2.5,0,100867.12,0,0,31.8405017852783,25.6800003051758,34.1083564758301,48.7400016784668,0.69267326593399,3.1555552482605,16.7463817596436,904.900085449219,10.9969177246094,0,0,41.4292259216309,29.1167678833008,25.28537940979,21.9199314117432,20.8017044067383,20.5086574554443,20.540943145752,20.1612586975098,20.0357990264893,20.0324993133545
"12",136.81,-33.19,2014-12-10 15:30:00,32.0964851379395,0,-2.5,0,100790.62,0,0,31.0238952636719,24.5699996948242,36.3718681335449,53.0099983215332,0.739014089107513,3.36666655540466,28.2885303497314,839.999938964844,10.1604309082031,0,0,41.3126373291016,32.0075759887695,27.6832790374756,23.0841445922852,21.2595176696777,20.6237354278564,20.5290203094482,20.166389465332,20.0361766815186,20.0324993133545
